Security,Ticker,CIK,Watchlist Type,Primary Entity Hint,Secondary Entity Hint
3M,MMM,0000066740,equity,organization,financial_instrument
A. O. Smith,AOS,0000091142,equity,organization,financial_instrument
Abbott Laboratories,ABT,0000001800,equity,organization,financial_instrument
AbbVie,ABBV,0001551152,equity,organization,financial_instrument
Accenture,ACN,0001467373,equity,organization,financial_instrument
Adobe Inc.,ADBE,0000796343,equity,organization,financial_instrument
Advanced Micro Devices,AMD,0000002488,equity,organization,financial_instrument
AES Corporation,AES,0000874761,equity,organization,financial_instrument
Aflac,AFL,0000004977,equity,organization,financial_instrument
Agilent Technologies,A,0001090872,equity,organization,financial_instrument
Air Products,APD,0000002969,equity,organization,financial_instrument
Airbnb,ABNB,0001559720,equity,organization,financial_instrument
Akamai Technologies,AKAM,0001086222,equity,organization,financial_instrument
Albemarle Corporation,ALB,0000915913,equity,organization,financial_instrument
Alexandria Real Estate Equities,ARE,0001035443,equity,organization,financial_instrument
Align Technology,ALGN,0001097149,equity,organization,financial_instrument
Allegion,ALLE,0001579241,equity,organization,financial_instrument
Alliant Energy,LNT,0000352541,equity,organization,financial_instrument
Allstate,ALL,0000899051,equity,organization,financial_instrument
Alphabet Inc. (Class A),GOOGL,0001652044,equity,organization,financial_instrument
Alphabet Inc. (Class C),GOOG,0001652044,equity,organization,financial_instrument
Altria,MO,0000764180,equity,organization,financial_instrument
"Amazon"")",AMZN,0001018724,equity,organization,financial_instrument
Amcor,AMCR,0001748790,equity,organization,financial_instrument
Ameren,AEE,0001002910,equity,organization,financial_instrument
American Electric Power,AEP,0000004904,equity,organization,financial_instrument
American Express,AXP,0000004962,equity,organization,financial_instrument
American International Group,AIG,0000005272,equity,organization,financial_instrument
American Tower,AMT,0001053507,equity,organization,financial_instrument
American Water Works,AWK,0001410636,equity,organization,financial_instrument
Ameriprise Financial,AMP,0000820027,equity,organization,financial_instrument
Ametek,AME,0001037868,equity,organization,financial_instrument
Amgen,AMGN,0000318154,equity,organization,financial_instrument
Amphenol,APH,0000820313,equity,organization,financial_instrument
Analog Devices,ADI,0000006281,equity,organization,financial_instrument
"Aon plc"")",AON,0000315293,equity,organization,financial_instrument
APA Corporation,APA,0001841666,equity,organization,financial_instrument
Apollo Global Management,APO,0001858681,equity,organization,financial_instrument
Apple Inc.,AAPL,0000320193,equity,organization,financial_instrument
Applied Materials,AMAT,0000006951,equity,organization,financial_instrument
